count,start,start_lat,start_long,end,end_lat,end_long
1253,Townsend at 7th,37.771058,-122.402717,San Francisco Caltrain (Townsend at 4th),37.776317,-122.395569
1044,San Francisco Caltrain 2 (330 Townsend),37.776377,-122.39607,Townsend at 7th,37.771058,-122.402717
820,Market at Sansome,37.789625,-122.400811,2nd at South Park,37.782259,-122.392738
763,2nd at South Park,37.782259,-122.392738,Market at Sansome,37.789625,-122.400811
680,San Francisco Caltrain (Townsend at 4th),37.776317,-122.395569,Harry Bridges Plaza (Ferry Building),37.795392,-122.394203
678,San Francisco Caltrain (Townsend at 4th),37.776317,-122.395569,Embarcadero at Folsom,37.791464,-122.391034
673,Embarcadero at Sansome,37.80477,-122.403234,Steuart at Market,37.794139,-122.394434
621,2nd at Townsend,37.780526,-122.390288,Harry Bridges Plaza (Ferry Building),37.795392,-122.394203
620,San Francisco Caltrain (Townsend at 4th),37.776317,-122.395569,Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643
609,Steuart at Market,37.794139,-122.394434,2nd at Townsend,37.780526,-122.390288
